	Entrez	Ensembl	Symbol	Ctrl1	Ctrl2	DT1	DT2
63166	105246278	ENSMUSG00000097119	B230354K17Rik	250	268	157	43
36455	433638	ENSMUSG00000074342	I830077J02Rik	38	4	7	10
30699	242126	ENSMUSG00000033147	Slc22a15	508	321	118	39
44903	100039467	ENSMUSG00000094759	Gm10487	0	0	0	0
45877	100042166	ENSMUSG00000097321	Gm3704	10	18	20	6
6504	22697	ENSMUSG00000037017	Zscan21	234	278	265	186
16973	73409	ENSMUSG00000107341	1700065J11Rik	0	0	0	0
35175	382421	ENSMUSG00000111997	Gm5176	6	0	0	2
37358	544707	ENSMUSG00000112471	Gm5779	0	0	0	0
23246	107733	ENSMUSG00000036850	Mrpl41	1004	839	346	740
3314	17218	ENSMUSG00000005410	Mcm5	755	374	49	224
30920	244238	ENSMUSG00000048965	Mrgpre	43	61	35	14
30867	243867	ENSMUSG00000050428	Fbxo46	246	260	77	55
30817	243382	ENSMUSG00000037826	Ppm1k	79	64	68	69
9078	53970	ENSMUSG00000005774	Rfx5	118	163	105	104
17893	74766	ENSMUSG00000032182	Yipf2	192	194	265	109
955	12928	ENSMUSG00000017776	Crk	3416	3185	2001	1034
463	12167	ENSMUSG00000052430	Bmpr1b	37	44	563	5
18368	75509	ENSMUSG00000059690	1700020N15Rik	0	0	0	0
826	12748	ENSMUSG00000068917	Clk2	81	72	62	69
15661	71120	ENSMUSG00000099751	1700022A22Rik	0	0	0	0
36650	434701	ENSMUSG00000092111	Vmn2r113	0	0	0	0
38948	628185	ENSMUSG00000094921	Vmn2r112	0	0	0	0
28009	210876	ENSMUSG00000095093	Vmn2r111	0	0	0	0
28935	224582	ENSMUSG00000091259	Vmn2r110	0	0	0	0
5446	20878	ENSMUSG00000027496	Aurka	357	162	40	97
37373	544792	ENSMUSG00000097886	Gsg1l2	0	0	0	0
34807	380654	ENSMUSG00000020014	Cfap54	11	18	5	7
3151	16907	ENSMUSG00000062075	Lmnb2	760	497	223	165
51643	102465588	ENSMUSG00000098291	Mir6973a	0	0	0	0
37939	619293	ENSMUSG00000072982	9230009I02Rik	0	0	0	0
18661	75947	ENSMUSG00000085677	4930594O21Rik	0	0	0	0
29516	230279	ENSMUSG00000045917	Tmem268	295	92	55	89
14492	68999	ENSMUSG00000036977	Anapc10	261	224	214	171
30245	236915	ENSMUSG00000025656	Arhgef9	8	95	123	6
38021	619945	ENSMUSG00000072874	Gm6116	2	0	0	0
3980	18521	ENSMUSG00000056851	Pcbp2	7250	7402	6486	3496
9390	56229	ENSMUSG00000031480	Thsd1	20	3	5	19
8872	53611	ENSMUSG00000024983	Vti1a	598	621	419	242
13518	67358	ENSMUSG00000020286	1700093K21Rik	4	0	0	0
15740	71235	ENSMUSG00000085928	4933427I22Rik	0	0	0	0
17080	73575	ENSMUSG00000102096	1700101O22Rik	0	0	0	0
23399	108072	ENSMUSG00000000617	Grm6	0	0	0	4
6498	22690	ENSMUSG00000062861	Zfp28	27	38	39	19
19059	76789	ENSMUSG00000033186	Mzt1	1249	1367	620	269
21806	100554	ENSMUSG00000073497	AA792892	0	0	0	0
28103	212163	ENSMUSG00000047466	8030462N17Rik	612	874	264	134
781	12662	ENSMUSG00000025531	Chm	428	513	304	76
50174	100503460	ENSMUSG00000097113	Gm19705	8	8	17	72
36310	432982	ENSMUSG00000087444	Gm5475	0	0	1	0
4258	19025	ENSMUSG00000017760	Ctsa	8187	5964	6175	3212
50973	100642166	ENSMUSG00000090015	Gm15446	10	2	11	6
20813	93790	ENSMUSG00000030452	Nipa2	736	428	204	162
6633	23919	ENSMUSG00000066090	Insl5	0	0	0	0
3437	17528	ENSMUSG00000056569	Mpz	6	5	9	0
12505	64659	ENSMUSG00000058267	Mrps14	799	534	357	462
12965	66585	ENSMUSG00000074088	Snrnp40	684	477	324	324
13754	67698	ENSMUSG00000051185	Fam174a	691	633	714	534
9749	57257	ENSMUSG00000033721	Vav3	138	33	84	71
13751	67693	ENSMUSG00000027245	Hypk	1867	1413	1183	1719
13749	67690	ENSMUSG00000029909	Prss37	0	0	0	0
19999	78457	ENSMUSG00000099988	1700054A03Rik	0	0	0	0
51929	102466798	ENSMUSG00000098759	Mir7063	0	0	0	0
3779	18163	ENSMUSG00000022240	Ctnnd2	11	3	10	9
116	11571	ENSMUSG00000025431	Crisp1	0	0	0	0
6333	22295	ENSMUSG00000012819	Cdh23	33	20	3	13
1963	14654	ENSMUSG00000000263	Glra1	0	0	0	0
20370	80907	ENSMUSG00000032370	Lactb	414	159	213	198
12599	66072	ENSMUSG00000024668	Sdhaf2	1244	793	593	586
23263	107766	ENSMUSG00000000673	Haao	7	0	4	18
16011	71726	ENSMUSG00000036061	Smug1	197	255	75	57
20810	93761	ENSMUSG00000031099	Smarca1	1	0	1	0
31210	257635	ENSMUSG00000029596	Sdsl	2	4	3	0
7781	30785	ENSMUSG00000000416	Cttnbp2	2	0	4	2
21816	100637	ENSMUSG00000041132	N4bp2l1	129	100	124	175
6516	22718	ENSMUSG00000037640	Zfp60	144	193	94	72
17577	74315	ENSMUSG00000019189	Rnf145	2069	2043	2734	1045
28162	212974	ENSMUSG00000062031	Pgghg	359	475	660	263
27328	170731	ENSMUSG00000029020	Mfn2	1052	1185	765	266
32468	268354	ENSMUSG00000044071	Tafa2	271	181	150	41
36851	436230	ENSMUSG00000087368	BC065397	12	7	5	7
117	11572	ENSMUSG00000025433	Crisp3	0	0	0	0
42180	723952	ENSMUSG00000065472	Mir125b-2	0	0	0	0
51628	102465573	ENSMUSG00000098666	Mir6950	0	0	0	0
39036	628877	ENSMUSG00000112910	Gm29685	0	0	0	0
8513	52717	ENSMUSG00000020107	Anapc16	1277	856	1016	622
28880	223922	ENSMUSG00000099083	Atf7	1785	2480	2100	409
29185	226922	ENSMUSG00000028033	Kcnq5	372	247	90	6
12817	66365	ENSMUSG00000030613	Ccdc90b	580	511	427	269
1601	14058	ENSMUSG00000031444	F10	110	14	31	215
18821	76279	ENSMUSG00000022445	Cyp2d26	0	0	0	0
31101	246085	ENSMUSG00000044743	Defb10	0	0	0	0
31100	246084	ENSMUSG00000058052	Defb35	0	0	0	0
31097	246081	ENSMUSG00000045337	Defb11	0	0	0	0
31096	246080	ENSMUSG00000037790	Defb7	0	0	0	0
49106	100417675	ENSMUSG00000041596	Nlrp5-ps	0	0	0	0
18311	75429	ENSMUSG00000049154	Fam183b	0	0	0	0
8849	53413	ENSMUSG00000020792	Exoc7	667	740	609	365
31197	252907	ENSMUSG00000099787	Vmn1r192	0	0	0	0
5904	21427	ENSMUSG00000008958	Vps72	1065	850	589	707
2386	15431	ENSMUSG00000042499	Hoxd11	0	0	0	0
547	12321	ENSMUSG00000029767	Calu	14848	19651	10245	2616
14280	68559	ENSMUSG00000027472	Pdrg1	1084	974	805	644
18920	76524	ENSMUSG00000032245	Cln6	357	282	377	199
34514	353170	ENSMUSG00000038344	Txlng	146	201	127	65
34373	330962	ENSMUSG00000053862	Slc51b	0	0	0	0
13349	67127	ENSMUSG00000057609	Lce1a1	0	0	0	0
19064	76797	ENSMUSG00000064308	2410137M14Rik	0	0	0	0
34965	381384	ENSMUSG00000051986	A530006G24Rik	0	0	0	0
38589	625243	ENSMUSG00000108383	Gm6567	1	0	0	3
16998	73447	ENSMUSG00000031166	Wdr13	662	1109	618	207
17523	74237	ENSMUSG00000025474	Tubgcp2	381	573	452	195
36210	432508	ENSMUSG00000055531	Cpsf6	1641	1272	624	430
9137	54216	ENSMUSG00000029108	Pcdh7	1237	2280	1106	94
17525	74239	ENSMUSG00000036555	Iqce	249	372	176	93
16712	72972	ENSMUSG00000058690	Ccser2	1250	1818	1062	279
21211	97440	ENSMUSG00000069920	B3gnt9	253	590	361	44
29330	228545	ENSMUSG00000034216	Vps18	512	653	418	266
29270	227720	ENSMUSG00000001855	Nup214	464	565	236	124
27629	193003	ENSMUSG00000048070	Pirt	0	0	0	0
28476	216440	ENSMUSG00000040462	Os9	5422	5580	7146	2372
18012	74996	ENSMUSG00000059263	Usp47	2046	2098	1172	499
29676	231549	ENSMUSG00000046079	Lrrc8d	1923	1829	953	424
13829	67803	ENSMUSG00000040699	Limd2	1522	946	905	1251
20381	80979	ENSMUSG00000029015	Slc26a5	0	0	0	0
32769	272589	ENSMUSG00000037287	Tbcel	418	376	382	200
4313	19113	ENSMUSG00000006488	Prl7a1	0	0	0	0
46634	100043915	ENSMUSG00000078897	Gm4724	0	0	0	0
27852	208718	ENSMUSG00000053333	Dis3l2	263	235	152	86
29725	231872	ENSMUSG00000029610	Aimp2	683	477	201	346
28975	224826	ENSMUSG00000023977	Ubr2	1575	2053	524	255
9098	54125	ENSMUSG00000020474	Polm	350	187	190	104
5122	20408	ENSMUSG00000030638	Sh3gl3	87	67	6	35
14000	68050	ENSMUSG00000023075	Akirin1	1509	873	843	566
2752	16331	ENSMUSG00000026288	Inpp5d	818	53	207	356
29379	228911	ENSMUSG00000047907	Tshz2	643	164	381	304
14127	68262	ENSMUSG00000023827	Agpat4	970	678	714	470
33389	320046	ENSMUSG00000052125	F730043M19Rik	8	21	19	3
50806	100529079	ENSMUSG00000086236	5830418P13Rik	0	0	1	0
27470	171242	ENSMUSG00000061602	Vmn1r78	0	0	0	0
27469	171241	ENSMUSG00000043308	Vmn1r75	0	0	0	0
16047	71779	ENSMUSG00000025702	Marchf8	1084	1278	746	387
13307	67072	ENSMUSG00000024780	Cdc37l1	485	536	301	162
6919	26946	ENSMUSG00000021541	Trpc7	0	0	0	0
14826	69568	ENSMUSG00000066735	Vkorc1l1	869	1057	448	164
748	12608	ENSMUSG00000056501	Cebpb	6559	3359	7024	8982
80	11516	ENSMUSG00000024256	Adcyap1	0	0	0	3
5395	20788	ENSMUSG00000022463	Srebf2	3183	3276	1370	341
3715	18053	ENSMUSG00000000120	Ngfr	270	55	51	20
20532	84704	ENSMUSG00000102627	Snurf	0	0	0	0
20917	93961	ENSMUSG00000074892	B3galt5	36	4	1	6
17454	74144	ENSMUSG00000032125	Robo4	40	15	37	26
2043	14765	ENSMUSG00000056380	Gpr50	0	0	0	0
23973	109019	ENSMUSG00000026107	Nabp1	219	102	193	192
5906	21429	ENSMUSG00000020923	Ubtf	3548	4431	1732	1283
4370	19202	ENSMUSG00000006200	Rhox6	0	0	0	0
1909	14573	ENSMUSG00000022144	Gdnf	10	19	6	98
28762	218914	ENSMUSG00000041408	Wapl	1118	1069	510	241
12923	66511	ENSMUSG00000001017	Chtop	3602	3546	2825	1745
29200	227099	ENSMUSG00000026098	Pms1	42	50	33	14
13573	67443	ENSMUSG00000031812	Map1lc3b	7147	6232	6389	2877
13571	67441	ENSMUSG00000052605	Isoc2b	7	22	31	14
23245	107732	ENSMUSG00000001445	Mrpl10	1151	846	540	400
18959	76615	ENSMUSG00000039720	Got1l1	0	0	0	0
18950	76606	ENSMUSG00000029867	Llcfc1	0	0	0	0
25157	110829	ENSMUSG00000019920	Lims1	3161	3251	2152	595
28800	219189	ENSMUSG00000058997	Vwa8	664	827	530	112
1714	14225	ENSMUSG00000032966	Fkbp1a	10880	7822	4315	2710
929	12891	ENSMUSG00000022212	Cpne6	0	0	0	1
927	12890	ENSMUSG00000025867	Cplx2	1970	2317	1042	1006
51655	102465600	ENSMUSG00000098363	Mir6993	0	0	0	0
51658	102465603	ENSMUSG00000098453	Mir6997	0	0	1	0
26606	114249	ENSMUSG00000040998	Npnt	2044	647	2697	74
6020	21804	ENSMUSG00000030782	Tgfb1i1	1190	1535	887	467
6273	22209	ENSMUSG00000016308	Ube2a	974	586	637	685
4495	19364	ENSMUSG00000018841	Rad51d	237	290	291	192
46996	100124468	ENSMUSG00000076357	Mir653	0	0	0	0
46980	100124452	ENSMUSG00000076049	Mir598	0	0	0	0
16054	71790	ENSMUSG00000015702	Anxa9	30	43	12	2
5058	20321	ENSMUSG00000033386	Frrs1	986	592	129	109
37524	545611	ENSMUSG00000094066	Fam205a2	0	0	0	0
3109	16842	ENSMUSG00000027985	Lef1	723	771	1479	152
30121	235315	ENSMUSG00000042790	Rnf214	854	1084	389	197
15538	70925	ENSMUSG00000038069	Cdkn2aip	423	393	736	219
15409	70681	ENSMUSG00000035234	Abraxas1	126	123	32	37
60078	105242658	ENSMUSG00000087658	Hotairm1	218	249	371	443
51659	102465604	ENSMUSG00000098651	Mir6999	0	0	1	0
13615	67501	ENSMUSG00000038127	Ccdc50	1450	2190	977	425
22710	105245	ENSMUSG00000038991	Txndc5	5682	5581	3282	1417
9962	58867	ENSMUSG00000040231	Syngr4	1	0	0	7
3255	17140	ENSMUSG00000033343	Magea4	0	0	0	0
51934	102466803	ENSMUSG00000098361	Mir7086	0	0	0	0
12919	66505	ENSMUSG00000021156	Zmynd11	1638	2128	1229	512
566	12344	ENSMUSG00000041791	Capza3	0	0	0	0
565	12343	ENSMUSG00000015733	Capza2	3645	3299	2497	1922
816	12729	ENSMUSG00000025439	Clns1a	1573	1314	699	553
29625	231045	ENSMUSG00000038199	Iqca1l	0	0	0	0
29885	233079	ENSMUSG00000051314	Ffar2	13	0	5	15
29878	233064	ENSMUSG00000037020	Wdr62	78	57	16	12
29389	228994	ENSMUSG00000038848	Ythdf1	1248	1198	825	467
37354	544678	ENSMUSG00000078490	Cfap74	13	1	0	36
29456	229699	ENSMUSG00000027896	Slc16a4	129	89	144	25
23998	109168	ENSMUSG00000024759	Atl3	2303	2783	2190	517
23906	108679	ENSMUSG00000034432	Cops8	1309	1013	701	609
23419	108100	ENSMUSG00000025372	Baiap2	2328	1370	1282	954
21341	97827	ENSMUSG00000032705	Exd2	332	456	320	121
21339	97820	ENSMUSG00000025871	4833439L19Rik	2488	2256	930	594
30684	241915	ENSMUSG00000037652	Phc3	737	969	543	206
30154	235534	ENSMUSG00000043587	Pxylp1	543	488	215	97
27614	192662	ENSMUSG00000025132	Arhgdia	14001	13562	7530	5926
29361	228801	ENSMUSG00000027485	Bpifb1	0	0	0	0
21948	101533	ENSMUSG00000047884	Klk9	1	0	0	0
2958	16619	ENSMUSG00000063177	Klk1b27	0	0	1	5
9732	57028	ENSMUSG00000116165	Pdxp	863	513	195	355
9705	56807	ENSMUSG00000040722	Scamp5	556	464	519	234
13197	66916	ENSMUSG00000033938	Ndufb7	1280	775	827	1533
19202	77034	ENSMUSG00000044496	2510039O18Rik	2757	1978	915	608
1950	14626	ENSMUSG00000050553	Gk2	0	0	0	0
1949	14625	ENSMUSG00000053624	Gykl1	0	0	0	0
22346	103988	ENSMUSG00000041798	Gck	0	0	0	0
8879	53621	ENSMUSG00000038784	Cnot4	452	319	267	221
12466	64245	ENSMUSG00000119352	Snord116l2	0	0	0	0
12742	66263	ENSMUSG00000097412	1810014B01Rik	62	33	59	44
28877	223918	ENSMUSG00000036966	Spryd3	2605	2491	1486	442
58	11482	ENSMUSG00000000530	Acvrl1	292	163	306	226
6004	21767	ENSMUSG00000040813	Tex264	1786	1719	1682	1004
15286	70439	ENSMUSG00000020680	Taf15	2028	2078	1046	1165
3952	18472	ENSMUSG00000020745	Pafah1b1	3385	3187	1986	1061
3928	18419	ENSMUSG00000009487	Otog	0	1	0	0
7707	29806	ENSMUSG00000025239	Limd1	1121	894	893	242
7706	29805	ENSMUSG00000075227	Znhit2	792	565	286	463
7052	27410	ENSMUSG00000024130	Abca3	861	1063	633	177
21109	97130	ENSMUSG00000050390	C77080	1410	1982	744	229
6555	22793	ENSMUSG00000029860	Zyx	3865	2645	1096	854
28948	224661	ENSMUSG00000036196	Slc26a8	0	4	1	0
6497	22689	ENSMUSG00000062040	Zfp27	84	84	69	43
8608	52850	ENSMUSG00000042216	Sgsm1	24	9	0	0
28602	217310	ENSMUSG00000034586	Hid1	923	906	360	166
18594	75847	ENSMUSG00000043153	Crppa	12	31	50	31
27336	170740	ENSMUSG00000005267	Zfp287	38	62	49	54
34172	329513	ENSMUSG00000056738	A730036I17Rik	0	0	0	1
1399	13592	ENSMUSG00000022053	Ebf2	2	1	0	0
6815	26425	ENSMUSG00000022503	Nubp1	447	342	127	129
15847	71395	ENSMUSG00000006204	Cdcp3	0	0	0	0
12900	66479	ENSMUSG00000052075	1700029F12Rik	0	0	0	0
28773	219022	ENSMUSG00000006288	Ttc5	546	537	337	191
47747	100316784	ENSMUSG00000089204	Mir1927	0	0	0	0
4797	19724	ENSMUSG00000031706	Rfx1	459	483	207	191
15925	71576	ENSMUSG00000085683	Tmem238l	0	0	0	0
23071	107350	ENSMUSG00000075010	AW112010	306	15	347	717
4893	19934	ENSMUSG00000028936	Rpl22	8252	6630	7372	3444
20753	93686	ENSMUSG00000033565	Rbfox2	3521	4786	3699	828
16509	72543	ENSMUSG00000038740	Mvb12b	1524	2383	943	522
34436	333315	ENSMUSG00000042353	Frem3	0	0	0	0
50756	100526518	ENSMUSG00000105524	Mir3065	0	0	0	0
16672	72898	ENSMUSG00000029348	Asphd2	144	196	65	121
28447	216157	ENSMUSG00000013858	Tmem259	4659	2954	1979	1764
30852	243764	ENSMUSG00000045613	Chrm2	0	0	0	0
32635	269701	ENSMUSG00000029442	Wdr66	3	0	5	0
58915	102639995	ENSMUSG00000112653	Gm36176	0	0	0	0
45560	100041281	ENSMUSG00000096481	Gm3250	0	0	0	0
45543	100041250	ENSMUSG00000094120	Gm3233	0	0	0	0
15489	70853	ENSMUSG00000050122	Vwa3b	0	0	0	0
14915	69716	ENSMUSG00000021569	Trip13	124	94	22	39
16155	71939	ENSMUSG00000033576	Apol6	29	4	111	146
14912	69710	ENSMUSG00000032812	Arap1	1895	1300	1297	880
16148	71923	ENSMUSG00000045176	Borcs6	537	429	659	454
14022	68092	ENSMUSG00000022774	Ncbp2	1175	774	782	453
24015	109225	ENSMUSG00000024672	Ms4a7	1136	81	684	729
4507	19383	ENSMUSG00000027593	Raly	4951	4119	3314	2901
4186	18821	ENSMUSG00000038583	Pln	0	0	0	0
3960	18483	ENSMUSG00000035863	Palm	1342	1113	921	547
3350	17274	ENSMUSG00000003037	Rab8a	1691	1159	1109	868
32546	268936	ENSMUSG00000063952	Brpf3	244	403	159	87
2247	15162	ENSMUSG00000003283	Hck	382	21	125	293
32955	319216	ENSMUSG00000097216	4932441J04Rik	0	3	3	0
6135	21973	ENSMUSG00000020914	Top2a	1788	1273	46	298
6616	23886	ENSMUSG00000038508	Gdf15	157	364	140	120
4883	19891	ENSMUSG00000028884	Rpa2	477	346	196	321
9701	56794	ENSMUSG00000021884	Hacl1	155	162	282	100
27624	192897	ENSMUSG00000020758	Itgb4	1601	273	371	86
2822	16428	ENSMUSG00000020395	Itk	12	6	60	27
46763	100049548	ENSMUSG00000077092	Mir742	0	0	0	0
13324	67095	ENSMUSG00000032536	Trak1	943	1547	1091	277
31011	245403	ENSMUSG00000050926	Dcaf12l2	0	0	0	0
30998	245269	ENSMUSG00000095930	Nim1k	83	95	107	67
30570	240638	ENSMUSG00000009378	Slc16a12	0	1	0	0
29846	232944	ENSMUSG00000030397	Mark4	850	793	449	284
30910	244202	ENSMUSG00000049709	Nlrp10	362	134	22	54
30855	243813	ENSMUSG00000043432	Leng9	137	57	76	97
30845	243653	ENSMUSG00000033082	Clec1a	38	28	3	1
30839	243612	ENSMUSG00000034387	Ssu2	2	0	0	0
30788	243043	ENSMUSG00000037653	Kctd8	0	0	0	0
51914	102466783	ENSMUSG00000099093	Mir7000	0	0	0	0
46804	100049714	ENSMUSG00000078035	Mir293	0	0	0	0
46801	100049711	ENSMUSG00000078041	Mir292	0	0	0	0
22708	105239	ENSMUSG00000034928	Rnf44	2078	2100	924	488
3486	17692	ENSMUSG00000031358	Msl3	777	804	533	288
19483	77622	ENSMUSG00000025269	Apex2	168	109	120	56
9478	56397	ENSMUSG00000031422	Morf4l2	8134	6707	4187	2235
30204	236451	ENSMUSG00000091649	Phf11b	69	19	178	128
33450	320158	ENSMUSG00000037492	Zmat4	0	0	0	0
6268	22200	ENSMUSG00000030061	Uba3	1581	1443	522	385
3424	17450	ENSMUSG00000022652	Morc1	0	0	0	0
18250	75338	ENSMUSG00000030617	Ccdc83	0	0	0	2
19428	77519	ENSMUSG00000060510	Zfp266	755	1015	597	167
5455	20901	ENSMUSG00000030224	Strap	3844	3215	1526	1263
3488	17698	ENSMUSG00000031207	Msn	17776	18721	7902	3462
563	12339	ENSMUSG00000021893	Capn7	706	593	567	211
276	11839	ENSMUSG00000029378	Areg	8142	4984	640	143
273	11836	ENSMUSG00000001127	Araf	904	865	572	337
30761	242711	ENSMUSG00000078520	Cela3a	0	0	0	0
5082	20353	ENSMUSG00000026121	Sema4c	1942	1433	1512	529
14829	69573	ENSMUSG00000043421	Hilpda	371	174	201	312
4361	19185	ENSMUSG00000005625	Psmd4	3480	2392	1854	2087
39732	664969	ENSMUSG00000082260	Gm7429	88	63	54	57
16244	72083	ENSMUSG00000022671	Mzt2	387	238	522	408
18420	75580	ENSMUSG00000018750	Zbtb4	954	1376	845	315
18413	75571	ENSMUSG00000021590	Spata9	3	0	15	3
18403	75558	ENSMUSG00000057072	Spata45	0	0	0	1
15468	70823	ENSMUSG00000034518	Hmgxb4	273	265	90	30
13044	66696	ENSMUSG00000013611	Snx31	0	0	0	4
2244	15159	ENSMUSG00000031352	Hccs	670	472	267	208
1089	13115	ENSMUSG00000006724	Cyp27b1	3	6	0	0
1085	13110	ENSMUSG00000052914	Cyp2j6	132	213	324	18
1084	13109	ENSMUSG00000052520	Cyp2j5	0	0	0	0
4197	18846	ENSMUSG00000031398	Plxna3	328	526	359	53
36604	434310	ENSMUSG00000066158	AY512931	0	0	0	0
12795	66335	ENSMUSG00000022295	Atp6v1c1	2361	1702	792	667
13983	68028	ENSMUSG00000039221	Rpl22l1	1771	1273	1115	1701
2006	14710	ENSMUSG00000038811	Gngt2	139	11	71	234
15902	71522	ENSMUSG00000040471	Ggt6	1	0	0	0
35147	382217	ENSMUSG00000079578	Gm1140	0	0	0	0
9652	56699	ENSMUSG00000041598	Cdc42ep4	1161	1223	2526	1266
12683	66183	ENSMUSG00000043461	Sptssb	0	0	0	0
23229	107702	ENSMUSG00000038650	Rnh1	4283	3396	2260	1632
18630	75894	ENSMUSG00000027259	Adal	141	125	103	47
51959	102466881	ENSMUSG00000099118	Mir8092	0	0	0	0
121	11595	ENSMUSG00000030607	Acan	3	0	19	3
2288	15227	ENSMUSG00000042812	Foxf1	605	108	54	93
6257	22183	ENSMUSG00000044068	Zrsr1	257	234	379	316
3682	18012	ENSMUSG00000034701	Neurod1	0	2	0	0
29256	227659	ENSMUSG00000036067	Slc2a6	114	18	127	162
17492	74189	ENSMUSG00000027525	Phactr3	0	2	0	23
44456	100038468	ENSMUSG00000074385	Gm10684	0	0	0	0
51019	100861494	ENSMUSG00000118747	Gm22109	0	0	0	0
3551	17772	ENSMUSG00000031337	Mtm1	228	234	63	52
19841	78199	ENSMUSG00000117554	4930527G23Rik	0	0	0	0
6656	23956	ENSMUSG00000079434	Neu2	0	0	0	0
23046	107173	ENSMUSG00000024958	Gpr137	593	516	491	283
30580	240725	ENSMUSG00000016918	Sulf1	943	1912	818	554
15192	70252	ENSMUSG00000097571	Jpx	28	26	30	6
1674	14166	ENSMUSG00000042826	Fgf11	25	51	57	9
9219	54614	ENSMUSG00000023007	Prpf40b	278	393	186	146
14895	69681	ENSMUSG00000092300	Cdk3	1	3	0	0
14073	68180	ENSMUSG00000006395	Hyi	234	228	205	378
30960	244721	ENSMUSG00000058192	Zfp846	53	73	50	30
4497	19366	ENSMUSG00000028702	Rad54l	74	38	6	20
7921	50791	ENSMUSG00000040003	Magi2	37	32	82	32
3979	18519	ENSMUSG00000000708	Kat2b	416	452	516	241
7956	50926	ENSMUSG00000029328	Hnrnpdl	1521	1274	1090	796
13839	67826	ENSMUSG00000009894	Snap47	495	575	471	367
36800	435916	ENSMUSG00000091620	Vmn2r23	0	0	0	0
29597	230863	ENSMUSG00000045349	Sh2d5	7	2	0	0
22803	105727	ENSMUSG00000023169	Slc38a1	1866	1409	826	306
12528	64945	ENSMUSG00000046798	Cldn12	472	524	442	190
18521	75746	ENSMUSG00000031434	Morc4	205	295	95	30
23176	107568	ENSMUSG00000041058	Wwp1	599	620	303	210
30003	234267	ENSMUSG00000031517	Gpm6a	0	6	92	22
4961	20187	ENSMUSG00000032547	Ryk	7349	7531	2698	1268
17043	73504	ENSMUSG00000090307	1700071M16Rik	21	11	4	1
36433	433486	ENSMUSG00000079006	Gm14151	0	0	0	0
29803	232566	ENSMUSG00000068250	Amn1	208	227	112	90
2473	15569	ENSMUSG00000008489	Elavl2	4	86	182	0
36502	433882	ENSMUSG00000067285	Gm16223	0	0	0	0
33640	320486	ENSMUSG00000085589	A430078I02Rik	0	0	0	0
2135	14924	ENSMUSG00000045095	Magi1	335	646	240	106
28367	215280	ENSMUSG00000075284	Wipf1	3131	3184	1644	952
12606	66082	ENSMUSG00000025277	Abhd6	37	49	78	30
9934	58521	ENSMUSG00000091337	Eid1	3166	3329	4498	1459
20432	83395	ENSMUSG00000038560	Sp6	0	0	0	0
13981	68026	ENSMUSG00000040204	Pclaf	526	321	8	237
31052	245615	ENSMUSG00000057439	Kir3dl2	0	0	0	0
6520	22724	ENSMUSG00000028042	Zbtb7b	1330	1413	808	480
34868	380921	ENSMUSG00000034731	Dgkh	171	220	53	22
9680	56744	ENSMUSG00000029373	Pf4	296	9	42	73
6819	26429	ENSMUSG00000029012	Orc5	233	182	118	111
7906	50775	ENSMUSG00000045236	Krtap5-4	0	0	0	0
7904	50773	ENSMUSG00000020736	Nt5c	714	468	436	648
5363	20743	ENSMUSG00000067889	Sptbn2	5	2	4	9
52546	102631696	ENSMUSG00000113813	Gm29968	0	0	0	0
16804	73144	ENSMUSG00000074415	Mir100hg	516	697	241	239
61688	105244662	ENSMUSG00000086896	Cyp4x1os	0	0	0	0
6144	21983	ENSMUSG00000035274	Tpbg	2489	3038	4160	1044
34036	328324	ENSMUSG00000114590	5930438M14Rik	1	0	0	0
16991	73435	ENSMUSG00000026592	Tex35	4	0	0	0
2416	15473	ENSMUSG00000022323	Rida	449	462	358	549
4127	18747	ENSMUSG00000005469	Prkaca	1924	1874	1192	648
29881	233067	ENSMUSG00000036957	Lrfn3	101	42	25	68
14154	68304	ENSMUSG00000034487	Poglut3	635	866	460	206
28256	213988	ENSMUSG00000047888	Tnrc6b	747	874	506	221
6709	24057	ENSMUSG00000020669	Sh3yl1	15	14	20	3
7944	50905	ENSMUSG00000015966	Il17rb	1	0	37	2
46628	100043902	ENSMUSG00000093460	Six3os1	0	0	0	0
46991	100124463	ENSMUSG00000077847	Mir105	0	0	0	0
8980	53761	ENSMUSG00000024393	Prrc2a	7111	9326	2932	1795
9830	57752	ENSMUSG00000030852	Tacc2	1643	1759	504	168
3337	17248	ENSMUSG00000054387	Mdm4	594	792	498	219
20808	93759	ENSMUSG00000020063	Sirt1	724	504	729	242
10066	60525	ENSMUSG00000027605	Acss2	175	193	154	37
3650	17967	ENSMUSG00000039542	Ncam1	1478	3425	3081	800
6241	22156	ENSMUSG00000005968	Tuft1	169	110	90	27
3301	17195	ENSMUSG00000024863	Mbl2	0	0	0	0
37993	619697	ENSMUSG00000090966	Vmn2r116	0	0	0	0
29544	230622	ENSMUSG00000087194	Skint6	0	0	0	0
28868	223828	ENSMUSG00000036167	Pphln1	1556	1331	606	318
30668	241638	ENSMUSG00000037703	Lzts3	87	113	116	81
5394	20787	ENSMUSG00000020538	Srebf1	3533	4234	10937	1620
6731	24086	ENSMUSG00000020694	Tlk2	669	890	460	273
14166	68328	ENSMUSG00000027935	Rab13	586	559	823	854
3009	16687	ENSMUSG00000058354	Krt6a	1	0	0	0
6350	22319	ENSMUSG00000028955	Vamp3	1732	1268	1091	454
3697	18029	ENSMUSG00000055053	Nfic	5527	5752	4159	1630
