,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
R-HSA-3371556,R-HSA-3371556,Cellular response to heat stress,86,-0.416909951,-1.451484667,0.021579081,0.145802646,0.121182918,4273,"tags=48%, list=29%, signal=34%",CAMK2D/YWHAE/NUP62/NUP37/NUP85/RPA3/NUP98/RPTOR/NUP54/RAE1/PTGES3/NUP43/POM121/NUP93/HSPA14/NUP50/HSPA4/DNAJC2/NUP107/NUP153/ATR/BAG3/NUP88/HSP90AB1/NUP155/NUP205/MAPK1/HSPA12A/NUP58/NUP188/HSPH1/HSP90AA1/HSPA8/NDC1/HSPA6/NUP35/FKBP4/HSPA9/SEH1L/CAMK2A/CAMK2B
R-HSA-350562,R-HSA-350562,Regulation of ornithine decarboxylase (ODC),48,-0.465497992,-1.45448593,0.038394848,0.197177936,0.163883155,4776,"tags=69%, list=32%, signal=47%",PSMD4/PSMB1/PSMB2/PSMB5/PSMA4/PSMA3/PSMC3/PSMA7/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/OAZ1/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/OAZ3/ODC1
R-HSA-169911,R-HSA-169911,Regulation of Apoptosis,50,-0.464407783,-1.461569562,0.036033797,0.192088911,0.159653446,5677,"tags=70%, list=38%, signal=43%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PAK2/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/OPA1/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2
R-HSA-351202,R-HSA-351202,Metabolism of polyamines,56,-0.454094887,-1.462640984,0.031180401,0.173302513,0.144039254,4776,"tags=57%, list=32%, signal=39%",PSMC3/PSMA7/AMD1/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/OAZ1/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/SMS/SRM/SMOX/PSMD2/AGMAT/OAZ3/ODC1
R-HSA-73894,R-HSA-73894,DNA Repair,298,-0.355105797,-1.464199273,0.000638774,0.022389013,0.018608482,4867,"tags=49%, list=33%, signal=34%",TCEA1/CCNA2/POLE4/RFC1/RAD52/FANCF/TOP3A/USP7/USP45/PCLAF/COPS5/RAD1/CDK2/MAD2L2/UBB/UIMC1/RPA2/NTHL1/GTF2H3/XRCC6/COPS6/RNF4/CUL4B/PCNA/POLR2C/UBE2I/PAXIP1/ERCC3/SLX4/ZNF830/BAZ1B/TFPT/NSD2/ERCC8/POLR2K/PARP1/PRKDC/ALKBH2/RIF1/RPA3/XRCC3/XPC/ACTR5/MNAT1/CENPX/DCLRE1C/ABL1/TDG/NBN/H2BC12/EXO1/RAD51D/HMGN1/KPNA2/RAD51C/CDK7/EYA3/TIMELESS/PALB2/POLD3/RMI1/PNKP/MSH6/RFC2/ACD/SIRT6/CHEK2/LIG4/GEN1/POLE/POLR2G/H2AZ1/POLR2B/RAD51AP1/INO80E/UBE2V2/COPS7A/ATR/POLB/PARP2/FANCD2/NEIL3/ELL/POLQ/TOPBP1/XRCC5/MDC1/FEN1/POLD2/ATRIP/DCLRE1B/POLE3/USP10/COPS3/CCNH/RAD51/FANCG/BRCC3/FANCI/FANCM/OGG1/RAD23A/RAD9B/POLR2H/COPS7B/POLR2D/RFC4/BLM/FANCL/UBE2N/RFC3/DNA2/WRN/ERCC1/COPS8/TIPIN/PPP5C/BRCA2/RUVBL1/H2BC13/RFC5/CHD1L/XRCC1/POLR2F/FANCA/UBE2T/MRE11/FANCB/XRCC2/MSH2/CLSPN/CCNA1/XRCC4/DTL/POLD1/ACTL6A/EME1/GTF2H2/NEIL2/MPG/RAD18/POLD4/INO80C/H2BC15/POLE2/ERCC5/H4C11
R-HSA-5610783,R-HSA-5610783,Degradation of GLI2 by the proteasome,55,-0.457644822,-1.466553147,0.032242063,0.177268129,0.14733525,5677,"tags=67%, list=38%, signal=42%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/RBX1/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/CUL1/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/CSNK1A1/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/PRKACB
R-HSA-9648025,R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,108,-0.406492126,-1.469917905,0.014686598,0.118336845,0.098354897,5216,"tags=60%, list=35%, signal=39%",MIS12/PPP2R5C/TUBB6/KNTC1/XPO1/MAD1L1/PPP2R5E/SPC24/CDC20/BUB1B/PPP2R1B/SGO1/SPC25/ZW10/PPP2CB/NEK7/NUP37/NUP85/DSN1/TUBA1B/CENPT/NUP98/CDCA8/BIRC5/KIF2A/AURKB/KIF18A/CENPH/NDC80/AHCTF1/CENPO/INCENP/KIF2C/NUP43/SKA1/CENPE/DYNC1LI1/MAPRE1/PLK1/ZWINT/CENPN/RCC2/CENPI/BUB1/NUP107/CENPK/PPP2R5A/NUF2/TUBB4B/PPP1CC/MAD2L1/BUB3/NDE1/SPDL1/ZWILCH/SGO2/TUBA1C/CENPU/CENPQ/ERCC6L/NUDC/DYNC1I1/TUBB1/SEH1L/TUBB4A
R-HSA-174178,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,71,-0.436503672,-1.470469238,0.024322969,0.156425699,0.1300122,5684,"tags=69%, list=39%, signal=43%",ANAPC5/PSMD4/PSMB1/PSMB2/ANAPC4/PSMB5/RPS27A/SKP2/PSMA4/CDC23/UBC/PSMA3/CDC20/ANAPC11/PSMC3/PSMA7/PTTG1/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/AURKB/ANAPC1/PLK1/CDC27/PSMC6/UBE2S/PSMD14/ANAPC7/PSMD12/AURKA/PSMD11/PSMD8/PSME4/UBE2C/ANAPC10/PSMD2
R-HSA-5610780,R-HSA-5610780,Degradation of GLI1 by the proteasome,56,-0.45681769,-1.471411138,0.02969562,0.169808179,0.14113496,5677,"tags=66%, list=38%, signal=41%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/RBX1/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/CUL1/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/PRKACB/NUMB
R-HSA-180585,R-HSA-180585,Vif-mediated degradation of APOBEC3G,51,-0.466679594,-1.476333279,0.032782844,0.179537297,0.149221253,5677,"tags=69%, list=38%, signal=42%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/RBX1/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/ELOC/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2
R-HSA-211733,R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,47,-0.474720887,-1.479099408,0.034398034,0.185484785,0.15416447,5677,"tags=72%, list=38%, signal=45%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PAK2/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2
R-HSA-69278,R-HSA-69278,"Cell Cycle, Mitotic",500,-0.343939907,-1.482541616,0.000369822,0.017879004,0.014860018,4412,"tags=46%, list=30%, signal=33%",CNTRL/RPA2/CDK4/TFDP1/PSMD6/ZW10/GMNN/PPP2CB/TUBGCP4/PCNA/RCC1/PSMB6/UBE2I/NEK7/YWHAE/ORC3/GINS4/MCM2/VRK2/ESCO2/NUP62/PSMD13/NUP37/PSMA1/PSMC1/HDAC8/NUP85/PSMD7/SET/FKBPL/DSN1/PSMC5/CDK11A/CUL1/PSMA5/PSMC4/TUBA1B/RPA3/LMNB1/CEP290/CENPT/SMC2/CDK1/PSMD3/PSMD1/MNAT1/VPS4A/CCNB1/MASTL/NUP98/PLK4/GINS3/PSMB7/PSME3/CDCA8/BIRC5/LMNA/NCAPH2/PSME2/ABL1/PPP2R3B/SMC4/H2BC12/CEP135/KIF2A/SMC1A/YWHAG/CDK7/HAUS1/MCM5/AURKB/KIF18A/NUP54/RAE1/CENPH/HAUS8/NDC80/AHCTF1/CENPO/POLD3/INCENP/CEP76/ANAPC1/KIF2C/NUP43/POM121/SKA1/CENPE/NUP93/DYNC1LI1/MCM3/BORA/MAPRE1/PLK1/RFC2/KPNB1/ZWINT/H3-3B/CENPN/POLE/PRIM1/CSNK2A1/HMMR/NUP50/NCAPD3/H2AZ1/RCC2/CDC27/CDCA5/PSMC6/CENPI/BUB1/NUP107/TUBG1/CENPK/NUP153/PPP2R5A/FBXO5/GINS1/CDC25C/BANF1/UBE2S/CEP41/MZT1/PSMD14/FEN1/E2F3/POLD2/POLA1/PPP2R2A/NUF2/NUP88/GINS2/HAUS2/POLE3/MCM4/CCNH/ANAPC7/TUBGCP2/TUBB4B/ESPL1/PPP1CC/MAD2L1/HSP90AB1/DBF4/BUB3/PSMD12/AURKA/NUP155/PSMD11/PSMD8/PRIM2/PSME4/LIN9/CHMP7/NDE1/RFC4/NUP205/RFC3/NCAPH/SPDL1/DNA2/RBL1/NEDD1/AKT2/PKMYT1/CDC7/MAPK1/TUBGCP3/MCM7/PHLDA1/NUP58/CSNK1E/NCAPG/CKS1B/CCND1/E2F4/UBE2C/ORC1/MCM6/CDC45/ANAPC10/ZWILCH/H2BC13/POLA2/RFC5/SGO2/TUBA1C/HAUS6/NUP188/CENPU/RAN/HSP90AA1/SFI1/CDC14A/CCNA1/CDC6/POLD1/CENPQ/RRM2/NDC1/PRKCB/ERCC6L/CCNE2/TMPO/ORC6/MCM8/CDKN1A/PSMD2/MYC/CDC25A/NUDC/DYNC1I1/NUP35/ORC5/TUBB1/VRK1/MCM10/POLD4/SEH1L/CENPJ/SDCCAG8/H2BC15/CEP72/POLE2/TUBB4A/CDKN1C/H4C11
R-HSA-111885,R-HSA-111885,Opioid Signalling,72,-0.43985967,-1.486274354,0.020561685,0.142745129,0.118641683,2092,"tags=33%, list=14%, signal=29%",CAMKK1/PPP3CB/PPP3CC/PLCB3/ADCY3/PRKAR1B/GNG5/MAPK1/GNAL/PRKCD/GNG11/GNG10/PDE4B/PPP3CA/GNG2/PRKACB/PRKCG/GNA14/PLA2G4A/CAMK4/ADCY8/CAMK2A/CAMK2B/GNA15
R-HSA-194138,R-HSA-194138,Signaling by VEGF,91,-0.422980306,-1.486624876,0.012241775,0.10660229,0.088601798,1685,"tags=19%, list=11%, signal=17%",HSP90AA1/NRP1/PRKCB/RASA1/MAPKAP1/PAK1/PRKACB/PXN/AXL/TRIB3/MAPK13/VEGFA/MAPKAPK3/PTK2B/VAV3/FLT1/SPHK1
R-HSA-174154,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,65,-0.45096742,-1.493651329,0.021901444,0.146917817,0.122109786,5684,"tags=69%, list=39%, signal=43%",ANAPC5/PSMD4/PSMB1/PSMB2/ANAPC4/PSMB5/RPS27A/PSMA4/CDC23/UBC/PSMA3/CDC20/ANAPC11/PSMC3/PSMA7/PTTG1/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/ANAPC1/CDC27/PSMC6/UBE2S/PSMD14/ANAPC7/PSMD12/PSMD11/PSMD8/PSME4/UBE2C/ANAPC10/PSMD2
R-HSA-372790,R-HSA-372790,Signaling by GPCR,355,-0.357273457,-1.495587526,0.000337952,0.01692174,0.014064394,1677,"tags=24%, list=11%, signal=22%",GPSM3/PREX1/PDE4B/GALR2/PRKCH/WNT5A/GNAT2/PPP3CA/RPS6KA3/GNG2/PRKCB/PDE8B/PDE3A/NGEF/ITGB1/RHOC/RGS5/PAK1/SHC1/VIPR1/RPS6KA1/PRKACB/PRKCG/PTHLH/DHH/RGS16/RGS6/GRM8/GAL/DGKG/ADORA2B/LPAR6/FZD8/DGKI/GABBR2/RASGRF2/GNA14/RGS20/ACKR4/F2RL1/ITGA5/LPAR5/PTAFR/GPBAR1/NPY1R/PLA2G4A/PTGFR/GPR68/CCR1/ADM2/CAMK4/KALRN/AGTR1/GPER1/ADCY8/NPFFR2/S1PR3/LHB/UCN2/MCHR1/DRD2/ARRB1/CMKLR1/C3AR1/VAV3/PDE3B/ADGRE2/FPR1/CXCR4/HTR7/CAMK2A/RGS17/BDKRB2/NTSR1/TACR1/SHH/RGS8/HBEGF/PDE2A/ADCYAP1R1/HTR4/CAMK2B/CCL20/RGS4/GNA15
R-HSA-75815,R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,49,-0.477455947,-1.496882225,0.029717682,0.169808179,0.14113496,5677,"tags=71%, list=38%, signal=44%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/CDK4/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/CCND1/PSMD2
R-HSA-69017,R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,70,-0.445570288,-1.498205647,0.01975,0.141997436,0.118020243,5684,"tags=69%, list=39%, signal=42%",ANAPC5/PSMD4/PSMB1/PSMB2/ANAPC4/PSMB5/RPS27A/PSMA4/CDC23/UBC/PSMA3/ANAPC11/CCNA2/PSMC3/PSMA7/CDK2/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/ANAPC1/CDC27/PSMC6/UBE2S/PSMD14/ANAPC7/PSMD12/PSMD11/PSMD8/PSME4/UBE2C/ANAPC10/CCNA1/CDC6/CCNE2/PSMD2
R-HSA-76046,R-HSA-76046,RNA Polymerase III Transcription Initiation,36,-0.507383097,-1.503430189,0.037785171,0.196097439,0.162985107,5302,"tags=69%, list=36%, signal=45%",POLR3B/SNAPC4/BRF2/GTF3C5/TBP/GTF3C2/GTF3C3/GTF3C6/POLR3D/POLR3F/SNAPC5/POLR2K/SNAPC2/ZNF143/SNAPC1/GTF3C1/POLR3C/CRCP/POLR2H/POLR3E/POLR2F/POLR1C/POLR3K/POLR3A/POLR3G
R-HSA-69601,R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,49,-0.479671406,-1.503827957,0.02897474,0.168554708,0.140093146,5677,"tags=71%, list=38%, signal=44%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/CHEK2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/CDC25A
R-HSA-69610,R-HSA-69610,p53-Independent DNA Damage Response,49,-0.479671406,-1.503827957,0.02897474,0.168554708,0.140093146,5677,"tags=71%, list=38%, signal=44%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/CHEK2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/CDC25A
R-HSA-69613,R-HSA-69613,p53-Independent G1/S DNA damage checkpoint,49,-0.479671406,-1.503827957,0.02897474,0.168554708,0.140093146,5677,"tags=71%, list=38%, signal=44%",PSMD4/PSMB1/PSMB2/PSMB5/RPS27A/PSMA4/UBC/PSMA3/PSMC3/PSMA7/UBB/PSMC2/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/PSMC5/PSMA5/PSMC4/PSMD3/PSMD1/PSMB7/PSME3/PSME2/CHEK2/PSMC6/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/PSMD2/CDC25A
R-HSA-416476,R-HSA-416476,G alpha (q) signalling events,113,-0.413557324,-1.504535265,0.00925681,0.096539223,0.080237946,2092,"tags=29%, list=14%, signal=25%",MAPK1/RGS3/PRKCD/GNG11/RGS2/GNG10/P2RY1/PRKCH/RPS6KA3/GNG2/RGS5/RPS6KA1/RGS16/DGKG/LPAR6/DGKI/GNA14/F2RL1/LPAR5/PTAFR/PTGFR/GPR68/KALRN/AGTR1/NPFFR2/MCHR1/RGS17/BDKRB2/NTSR1/TACR1/HBEGF/RGS4/GNA15
R-HSA-418594,R-HSA-418594,G alpha (i) signalling events,150,-0.39662792,-1.504880155,0.003309432,0.044188795,0.036727229,1063,"tags=27%, list=7%, signal=25%",GNAL/PRKCD/GNG11/S1PR2/GNG10/GPSM3/PDE4B/GALR2/GNAT2/PPP3CA/GNG2/RGS5/PRKACB/PRKCG/RGS16/RGS6/GRM8/GAL/GABBR2/GNA14/RGS20/LPAR5/NPY1R/PLA2G4A/CCR1/CAMK4/GPER1/ADCY8/S1PR3/MCHR1/C3AR1/FPR1/CXCR4/CAMK2A/RGS17/BDKRB2/RGS8/CAMK2B/CCL20/RGS4/GNA15
R-HSA-177929,R-HSA-177929,Signaling by EGFR,47,-0.484826535,-1.510585821,0.028255528,0.167856994,0.139513246,2219,"tags=23%, list=15%, signal=20%",EGFR/SPRY2/EPS15L1/HGS/PTPN12/SH3KBP1/SHC1/PXN/HBEGF/EREG/AREG
R-HSA-162599,R-HSA-162599,Late Phase of HIV Life Cycle,128,-0.407149189,-1.511536284,0.005360493,0.065924662,0.054792853,5305,"tags=60%, list=36%, signal=39%",RPS27A/GTF2A1/GTF2A2/XPO1/POLR2A/UBC/GTF2B/NELFA/NELFCD/TCEA1/PDCD6IP/TAF10/VPS37A/NUP42/VPS37C/TAF3/TBP/TAF7/UBB/GTF2H3/NELFE/NCBP1/RCC1/CCNT1/POLR2C/ERCC3/NUP62/NUP37/FURIN/NUP85/POLR2K/ELOA/VTA1/RNGTT/MNAT1/VPS4A/NUP98/TSG101/SUPT16H/CDK7/NUP54/RAE1/GTF2E1/NUP43/POM121/NUP93/ELOC/SSRP1/POLR2G/NUP50/PPIA/POLR2B/NUP107/NUP153/ELL/GTF2F2/NUP88/CCNH/NUP155/POLR2H/NCBP2/POLR2D/CHMP7/RANBP1/GTF2E2/NUP205/NUP58/TAF4B/POLR2F/NUP188/RAN/TAF5/VPS37D/NDC1/GTF2H2/NUP35/SEH1L
R-HSA-373076,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),105,-0.421727224,-1.515672535,0.010265859,0.102076134,0.084839913,765,"tags=28%, list=5%, signal=26%",GAL/ADORA2B/LPAR6/ACKR4/F2RL1/LPAR5/PTAFR/GPBAR1/NPY1R/PTGFR/GPR68/CCR1/AGTR1/GPER1/NPFFR2/S1PR3/LHB/MCHR1/DRD2/CMKLR1/C3AR1/FPR1/CXCR4/HTR7/BDKRB2/NTSR1/TACR1/HTR4/CCL20
R-HSA-72165,R-HSA-72165,mRNA Splicing - Minor Pathway,50,-0.481641839,-1.51580804,0.025099404,0.157095374,0.130568796,5150,"tags=60%, list=35%, signal=39%",POLR2A/PRPF8/SRSF6/SNRNP35/SF3B6/SF3B3/SF3B2/NCBP1/POLR2C/POLR2K/SF3B5/TXNL4A/SNRNP40/SNRPF/PDCD7/POLR2G/POLR2B/SNRPG/SRSF1/GTF2F2/SNRPE/POLR2H/NCBP2/POLR2D/SNRNP48/YBX1/POLR2F/SNRPB/SRSF7/SNRPD1
R-HSA-6807505,R-HSA-6807505,RNA polymerase II transcribes snRNA genes,73,-0.448916037,-1.520174808,0.015292053,0.121815105,0.10124583,5539,"tags=64%, list=38%, signal=40%",TAF13/INTS1/INTS9/PCF11/NABP2/GTF2A1/SNAPC4/GTF2A2/INTS11/POLR2A/GTF2B/INTS5/TBP/INTS8/INTS12/INTS2/NCBP1/CCNT1/INTS3/SNAPC5/POLR2C/POLR2K/SNAPC2/ZNF143/INTS6/INTS7/SNAPC1/CDK7/SRRT/GTF2E1/RPRD1B/RPRD1A/POLR2G/POLR2B/ELL/GTF2F2/POLR2H/NCBP2/POLR2D/GTF2E2/POLR2F/INTS4/ZC3H8/TAF5/INTS13/ELL2/POU2F2
R-HSA-2500257,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,117,-0.414664138,-1.520379755,0.007900974,0.090796444,0.075464872,4066,"tags=59%, list=28%, signal=43%",MIS12/PPP2R5C/TUBB6/KNTC1/XPO1/MAD1L1/PPP2R5E/SPC24/CDC20/BUB1B/PPP2R1B/SGO1/SPC25/ZW10/PPP2CB/NUP37/HDAC8/NUP85/DSN1/TUBA1B/CENPT/CDK1/CCNB1/NUP98/CDCA8/BIRC5/KIF2A/SMC1A/AURKB/KIF18A/CENPH/NDC80/AHCTF1/CENPO/INCENP/KIF2C/NUP43/SKA1/CENPE/DYNC1LI1/MAPRE1/PLK1/ZWINT/CENPN/RCC2/CDCA5/CENPI/BUB1/NUP107/CENPK/PPP2R5A/NUF2/TUBB4B/PPP1CC/MAD2L1/BUB3/NDE1/SPDL1/ZWILCH/SGO2/TUBA1C/CENPU/CENPQ/ERCC6L/NUDC/DYNC1I1/TUBB1/SEH1L/TUBB4A
R-HSA-450531,R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,83,-0.441185816,-1.52702268,0.009364718,0.096539223,0.080237946,5677,"tags=69%, list=38%, signal=43%",PSMD4/PSMB1/PSMB2/PSMB5/PARN/EXOSC1/ZFP36/RPS27A/PSMA4/XPO1/UBC/TNPO1/PSMA3/PSMC3/PSMA7/PABPC1/HNRNPD/ANP32A/DIS3/KHSRP/YWHAB/UBB/PSMC2/EIF4G1/YWHAZ/PSMD6/PSMB6/PSMD13/PSMA1/PSMC1/PSMD7/SET/PSMC5/PSMA5/PSMC4/EXOSC7/PSMD3/PSMD1/PSMB7/PSME3/PSME2/PSMC6/EXOSC4/PSMD14/PSMD12/PSMD11/PSMD8/PSME4/EXOSC3/PRKCD/EXOSC9/HSPA8/EXOSC5/EXOSC8/ZFP36L1/EXOSC2/PSMD2
R-HSA-9709570,R-HSA-9709570,Impaired BRCA2 binding to RAD51,35,-0.519292955,-1.529278197,0.030969267,0.172983715,0.143774287,5126,"tags=66%, list=35%, signal=43%",BRCA1/HUS1/TOP3A/RAD1/RPA2/RPA3/NBN/EXO1/RMI1/RFC2/ATR/TOPBP1/ATRIP/RAD51/RAD9B/RFC4/BLM/RFC3/DNA2/WRN/BRCA2/RFC5/MRE11
R-HSA-9009391,R-HSA-9009391,Extra-nuclear estrogen signaling,64,-0.464430113,-1.531275941,0.016716567,0.128772674,0.107028569,2465,"tags=31%, list=17%, signal=26%",GNG5/FOS/EGFR/AKT2/MAPK1/CCND1/PRMT1/ELK1/GNG11/GNG10/HSP90AA1/GNG2/SHC1/ZDHHC21/S1PR3/ESR2/HBEGF/EREG/SPHK1/AREG
R-HSA-199418,R-HSA-199418,Negative regulation of the PI3K/AKT network,79,-0.44576242,-1.531927813,0.009312862,0.096539223,0.080237946,701,"tags=15%, list=5%, signal=15%",TRIB3/FGFR4/PDGFA/RAC2/IER3/FGF5/ESR2/PDGFB/HBEGF/EREG/AREG/IL33
R-HSA-69273,R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,25,-0.557240598,-1.536821225,0.037482647,0.196084593,0.162974431,5828,"tags=80%, list=39%, signal=48%",PPP2CA/CCNB2/PPME1/XPO1/PPP2R1B/CCNA2/CDK2/PPP2CB/CDK1/MNAT1/CCNB1/PPP2R3B/CDK7/PLK1/CDC25C/PPP2R2A/CCNH/PKMYT1/CCNA1/CDC25A
R-HSA-6782135,R-HSA-6782135,Dual incision in TC-NER,64,-0.466253821,-1.537288902,0.015968064,0.124871966,0.10378652,5305,"tags=77%, list=36%, signal=49%",CUL4A/RPA1/POLR2I/PPIE/XAB2/GTF2H1/POLK/RPS27A/RBX1/POLR2A/UBC/TCEA1/POLE4/RFC1/USP7/UBB/RPA2/GTF2H3/CUL4B/PCNA/POLR2C/ERCC3/ZNF830/ERCC8/POLR2K/RPA3/MNAT1/HMGN1/CDK7/POLD3/RFC2/POLE/POLR2G/POLR2B/POLD2/POLE3/CCNH/POLR2H/POLR2D/RFC4/RFC3/ERCC1/RFC5/POLR2F/POLD1/GTF2H2/POLD4/POLE2/ERCC5
R-HSA-5693554,R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),27,-0.549868556,-1.539724904,0.037757702,0.196097439,0.162985107,3825,"tags=56%, list=26%, signal=41%",XRCC3/NBN/EXO1/RAD51D/RAD51C/PALB2/RMI1/RAD51AP1/RAD51/BLM/DNA2/WRN/BRCA2/MRE11/XRCC2
R-HSA-6814122,R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,32,-0.531936134,-1.541401506,0.030210773,0.171479771,0.142524294,2705,"tags=50%, list=18%, signal=41%",CSNK2A1/CCT6A/GNG5/CCT3/TCP1/CCT4/GNG11/CCT7/GNG10/CCT8/GNG2/CCT2/CCT5/RGS6/GNA14/GNA15
R-HSA-388396,R-HSA-388396,GPCR downstream signalling,315,-0.373000255,-1.543637076,0.000328407,0.01692174,0.014064394,1832,"tags=26%, list=12%, signal=23%",RGS2/PDE7A/S1PR2/GNG10/P2RY1/GPSM3/PREX1/PDE4B/GALR2/PRKCH/GNAT2/PPP3CA/RPS6KA3/GNG2/PRKCB/PDE8B/PDE3A/NGEF/ITGB1/RHOC/RGS5/PAK1/SHC1/VIPR1/RPS6KA1/PRKACB/PRKCG/PTHLH/RGS16/RGS6/GRM8/GAL/DGKG/ADORA2B/LPAR6/DGKI/GABBR2/RASGRF2/GNA14/RGS20/F2RL1/ITGA5/LPAR5/PTAFR/GPBAR1/NPY1R/PLA2G4A/PTGFR/GPR68/CCR1/ADM2/CAMK4/KALRN/AGTR1/GPER1/ADCY8/NPFFR2/S1PR3/LHB/MCHR1/ARRB1/C3AR1/VAV3/PDE3B/FPR1/CXCR4/HTR7/CAMK2A/RGS17/BDKRB2/NTSR1/TACR1/RGS8/HBEGF/PDE2A/ADCYAP1R1/HTR4/CAMK2B/CCL20/RGS4/GNA15
